class,departure_time,distance.value,duration.value,duration_in_traffic.value,end_lat,end_lon,fare.value,mode,origin,pair,place_id,rank,start_lat,start_lon,status
hospital,2018-06-06 12:41:26,1.47545059,32.18333333,,47.7160344,-122.3122296,,walking,530330001003,530330001003-ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJEerXpl0RkFQRDOjfwBQDzlA,1,47.72281,-122.28945,OK
cafe,2018-06-06 12:41:26,0.4307022996,9.133333333,,47.719859,-122.295224,,walking,530330001003,530330001003-ChIJ17BqS3sRkFQR31AY2_7b1Vg,ChIJ17BqS3sRkFQR31AY2_7b1Vg,1,47.72281,-122.28945,OK
pharmacy,2018-06-06 12:41:26,0.4947172157,10.2,,47.7195272,-122.295845,,walking,530330001003,530330001003-ChIJ8fdfu2QRkFQRvoCQ1-nxHo0,ChIJ8fdfu2QRkFQRvoCQ1-nxHo0,2,47.72281,-122.28945,OK
pharmacy,2018-06-06 12:41:26,0.1671845867,3.416666667,,47.7239671,-122.2921396,,walking,530330001003,530330001003-ChIJi_xMRXoRkFQRhfEsI71aRq8,ChIJi_xMRXoRkFQRhfEsI71aRq8,1,47.72281,-122.28945,OK
pharmacy,2018-06-06 12:41:26,0.81230578,16.48333333,,47.7335004,-122.2919914,,walking,530330001003,530330001003-ChIJKXaRMp4RkFQRr9i6RGtJ8Uo,ChIJKXaRMp4RkFQRr9i6RGtJ8Uo,3,47.72281,-122.28945,OK
cafe,2018-06-06 12:41:26,0.5394655065,11.26666667,,47.7295543,-122.2927945,,walking,530330001003,530330001003-ChIJj_FFZtRkCEERwclskRbTlO0,ChIJj_FFZtRkCEERwclskRbTlO0,2,47.72281,-122.28945,OK
cafe,2018-06-06 12:41:26,0.7874456184,15.98333333,,47.7329497,-122.2919115,,walking,530330001003,530330001003-ChIJ-eZCL54RkFQR9CqVqUgRhOE,ChIJ-eZCL54RkFQR9CqVqUgRhOE,3,47.72281,-122.28945,OK
supermarket,2018-06-06 12:41:26,0.3766314481,8.2,,47.7216449,-122.2952533,,walking,530330001003,530330001003-ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJtXDFJnsRkFQR_g_vXyHNovI,1,47.72281,-122.28945,OK
destination park,2018-06-06 12:41:26,3.977004351,75.98333333,,47.680326,-122.253198,,walking,530330001003,530330001003-Magnusan-Park,Magnusan-Park,1,47.72281,-122.28945,OK
destination park,2018-06-06 12:41:26,4.024860162,84.08333333,,47.68025,-122.328499,,walking,530330001003,530330001003-Greenlake-Park,Greenlake-Park,3,47.72281,-122.28945,OK
destination park,2018-06-06 12:41:26,4.900559354,101.9,,47.711609,-122.372217,,walking,530330001003,530330001003-Carkeek-Park,Carkeek-Park,2,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,8.043505283,167.2833333,,47.616587,-122.321611,,walking,530330001003,530330001003-Seattle-Central-College,Seattle-Central-College,5,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,3.445618397,72.53333333,,47.699252,-122.33352,,walking,530330001003,530330001003-North-Seattle-College,North-Seattle-College,2,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,14.45494096,297.75,,47.54841,-122.352194,,walking,530330001003,530330001003-South-Seattle-College,South-Seattle-College,13,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,9.535736482,196.4166667,,47.598939,-122.329158,,walking,530330001003,530330001003-King-Street-Station,King-Street-Station,10,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,8.548166563,175.2833333,,47.611603,-122.33691,,walking,530330001003,530330001003-Westlake-Center,Westlake-Center,6,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,2.833436917,59.61666667,,47.702358,-122.32721,,walking,530330001003,530330001003-Northgate-Transit-Center,Northgate-Transit-Center,1,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,10.71783717,220.1666667,,47.583574,-122.333555,,walking,530330001003,530330001003-SODO,SODO,11,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,15.2771908,314.2833333,,47.641193,-122.128259,,walking,530330001003,530330001003-Overlake-Redmond,Overlake-Redmond,14,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,9.351771287,192.4,,47.601651,-122.334226,,walking,530330001003,530330001003-Downtown-Pioneer-Square,Downtown-Pioneer-Square,8,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,8.834679925,182.05,,47.608001,-122.334658,,walking,530330001003,530330001003-Downtown-Commercial-Core,Downtown-Commercial-Core,7,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,5.110006215,102.2333333,,47.655614,-122.305211,,walking,530330001003,530330001003-University-of-Washington,University-of-Washington,3,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,12.11622126,247.35,,47.615523,-122.199049,,walking,530330001003,530330001003-Downtown-Bellevue,Downtown-Bellevue,12,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,8.635177129,179.7833333,,47.609422,-122.32512,,walking,530330001003,530330001003-First-Hill-Citywide,First-Hill-Citywide,9,47.72281,-122.28945,OK
citywide,2018-06-06 12:41:26,7.801740211,158.4166667,,47.622933,-122.337105,,walking,530330001003,530330001003-South-Lake-Union-Citywide,South-Lake-Union-Citywide,4,47.72281,-122.28945,OK
hospital,2018-06-06 12:41:27,1.574891237,13.63333333,,47.7160344,-122.3122296,,bicycling,530330001003,530330001003-ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJEerXpl0RkFQRDOjfwBQDzlA,1,47.72281,-122.28945,OK
cafe,2018-06-06 12:41:27,0.4307022996,3.583333333,,47.719859,-122.295224,,bicycling,530330001003,530330001003-ChIJ17BqS3sRkFQR31AY2_7b1Vg,ChIJ17BqS3sRkFQR31AY2_7b1Vg,1,47.72281,-122.28945,OK
pharmacy,2018-06-06 12:41:27,0.5494095712,3.916666667,,47.7195272,-122.295845,,bicycling,530330001003,530330001003-ChIJ8fdfu2QRkFQRvoCQ1-nxHo0,ChIJ8fdfu2QRkFQRvoCQ1-nxHo0,2,47.72281,-122.28945,OK
pharmacy,2018-06-06 12:41:27,0.1671845867,1.6,,47.7239671,-122.2921396,,bicycling,530330001003,530330001003-ChIJi_xMRXoRkFQRhfEsI71aRq8,ChIJi_xMRXoRkFQRhfEsI71aRq8,1,47.72281,-122.28945,OK
